read_at,city,shop_id,name,day,hour,weekday,locker_type,free,min_qta,price_1h,status
2026-09-25 14:17,florence,5,Uffizi District,2026-09-25,15,weekday,Maxi,10,5,3.49,read
2026-09-25 14:17,rome,2,City Center | Termini Station,2026-09-25,15,weekday,Small,1,1,1.49,read
2026-09-25 14:17,rome,2,City Center | Termini Station,2026-09-25,15,weekday,Standard,4,4,2.49,read
2026-09-25 14:17,rome,2,City Center | Termini Station,2026-09-25,15,weekday,Maxi,5,0,2.99,read
2026-09-25 14:17,florence,6,City Center |  Florence Station,2026-09-25,15,weekday,Small,7,4,3.49,read
2026-09-25 14:17,florence,6,City Center |  Florence Station,2026-09-25,15,weekday,Standard,5,5,2.49,read
2026-09-25 14:17,florence,6,City Center |  Florence Station,2026-09-25,15,weekday,Maxi,7,4,3.49,read
2026-09-25 14:17,naples,7,Naples Centrale Train Station,2026-09-25,15,weekday,Small,6,5,3.49,read
2026-09-25 14:17,naples,7,Naples Centrale Train Station,2026-09-25,15,weekday,Standard,0,0,2.49,read
2026-09-25 14:17,naples,7,Naples Centrale Train Station,2026-09-25,15,weekday,Maxi,6,5,3.49,read
2026-09-25 14:17,venice,8,City Center | Rialto District,2026-09-25,15,weekday,Small,9,5,2.99,read
2026-09-25 14:17,venice,8,City Center | Rialto District,2026-09-25,15,weekday,Standard,9,5,2.99,read
2026-09-25 14:17,venice,8,City Center | Rialto District,2026-09-25,15,weekday,Maxi,9,5,2.99,read
2026-09-25 14:17,venice,9,Santa Lucia Train Station,2026-09-25,15,weekday,Small,7,5,3.49,read
2026-09-25 14:17,venice,9,Santa Lucia Train Station,2026-09-25,15,weekday,Standard,0,0,2.49,read
2026-09-25 14:17,venice,9,Santa Lucia Train Station,2026-09-25,15,weekday,Maxi,7,5,3.49,read
2026-09-25 14:17,catania,10,Via Etnea | Bellini Theater,2026-09-25,15,weekday,Small,9,5,2.99,read
2026-09-25 14:17,catania,10,Via Etnea | Bellini Theater,2026-09-25,15,weekday,Standard,13,5,2.49,read
2026-09-25 14:17,catania,10,Via Etnea | Bellini Theater,2026-09-25,15,weekday,Maxi,9,5,2.99,read
2026-09-25 14:17,pisa,13,City Center | Pisa Station,2026-09-25,15,weekday,Small,0,0,3.49,read
2026-09-25 14:17,pisa,13,City Center | Pisa Station,2026-09-25,15,weekday,Standard,4,4,2.49,read
2026-09-25 14:17,pisa,13,City Center | Pisa Station,2026-09-25,15,weekday,Maxi,0,0,3.49,read
2026-09-25 14:17,verona,14,Verona Arena,2026-09-25,15,weekday,Small,8,5,3.49,read
2026-09-25 14:17,verona,14,Verona Arena,2026-09-25,15,weekday,Standard,4,4,2.49,read
