day,weekday,city,area,storage_id,name,capacity,hours_read,peak,peak_pct,carry_in,bags_in,deposits
2026-09-24,weekday,bari,bari-centrale-train-station,6459572,Luggage Storage Via Quintino Sella,20,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,6459572,Luggage Storage Via Quintino Sella,20,8,0,0.0,0,0,0.0
2026-09-26,weekend,bari,bari-centrale-train-station,6459572,Luggage Storage Via Quintino Sella,20,7,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-centrale-train-station,6460337,Luggage Storage Piazza Umberto I / Station,100,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,6460337,Luggage Storage Piazza Umberto I / Station,100,2,1,1.0,1,0,0.5
2026-09-25,weekday,bari,bari-centrale-train-station,6460337,Luggage Storage Piazza Umberto I / Station,100,6,3,3.0,3,0,1.5
2026-09-26,weekend,bari,bari-centrale-train-station,6460337,Luggage Storage Piazza Umberto I / Station,100,8,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-centrale-train-station,6460739,Luggage Storage Bari Bus Station,20,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,6460739,Luggage Storage Bari Bus Station,20,3,1,5.0,0,1,0.5
2026-09-25,weekday,bari,bari-centrale-train-station,6460739,Luggage Storage Bari Bus Station,20,7,1,5.0,1,0,0.5
2026-09-26,weekend,bari,bari-centrale-train-station,6460739,Luggage Storage Bari Bus Station,20,9,4,20.0,1,3,2.0
2026-09-23,weekday,bari,bari-centrale-train-station,6461821,Luggage Storage Sella-Crisanzio,20,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,6461821,Luggage Storage Sella-Crisanzio,20,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,6461821,Luggage Storage Sella-Crisanzio,20,7,3,15.0,3,0,1.5
2026-09-26,weekend,bari,bari-centrale-train-station,6461821,Luggage Storage Sella-Crisanzio,20,8,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-centrale-train-station,6461837,Luggage Storage Piazza Garibaldi,35,2,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,6461837,Luggage Storage Piazza Garibaldi,35,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,6461837,Luggage Storage Piazza Garibaldi,35,8,0,0.0,0,0,0.0
2026-09-26,weekend,bari,bari-centrale-train-station,6461837,Luggage Storage Piazza Garibaldi,35,8,15,42.9,0,15,7.5
2026-09-24,weekday,bari,bari-centrale-train-station,6462370,Luggage Storage Corso Cavour / Centrale,20,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,6462370,Luggage Storage Corso Cavour / Centrale,20,3,0,0.0,0,0,0.0
2026-09-26,weekend,bari,bari-centrale-train-station,6462370,Luggage Storage Corso Cavour / Centrale,20,5,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-centrale-train-station,6470157,Luggage Storage Cavour - Petroni,100,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,6470157,Luggage Storage Cavour - Petroni,100,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,6470157,Luggage Storage Cavour - Petroni,100,7,100,100.0,100,0,50.0
2026-09-26,weekend,bari,bari-centrale-train-station,6470157,Luggage Storage Cavour - Petroni,100,8,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,6472928,Luggage Storage Crispi-Garibaldi,20,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,6472928,Luggage Storage Crispi-Garibaldi,20,4,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-centrale-train-station,6800,Luggage Storage Bari Train Station,60,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,6800,Luggage Storage Bari Train Station,60,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,6800,Luggage Storage Bari Train Station,60,6,1,1.7,1,0,0.5
2026-09-26,weekend,bari,bari-centrale-train-station,6800,Luggage Storage Bari Train Station,60,8,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-centrale-train-station,7326,Luggage Storage Bari Centrale Stazione Fs,35,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,7326,Luggage Storage Bari Centrale Stazione Fs,35,2,3,8.6,3,0,1.5
2026-09-25,weekday,bari,bari-centrale-train-station,7326,Luggage Storage Bari Centrale Stazione Fs,35,6,0,0.0,0,0,0.0
2026-09-26,weekend,bari,bari-centrale-train-station,7326,Luggage Storage Bari Centrale Stazione Fs,35,8,7,20.0,0,7,3.5
2026-09-23,weekday,bari,bari-centrale-train-station,9316,Luggage Storage Giardini Di Piazza Umberto I,20,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,9316,Luggage Storage Giardini Di Piazza Umberto I,20,3,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,9316,Luggage Storage Giardini Di Piazza Umberto I,20,5,0,0.0,0,0,0.0
2026-09-26,weekend,bari,bari-centrale-train-station,9316,Luggage Storage Giardini Di Piazza Umberto I,20,5,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-vecchia,6461890,Luggage Storage Basilica San Nicola,100,1,2,2.0,2,0,1.0
2026-09-24,weekday,bari,bari-vecchia,6461890,Luggage Storage Basilica San Nicola,100,2,11,11.0,6,5,5.5
2026-09-25,weekday,bari,bari-vecchia,6461890,Luggage Storage Basilica San Nicola,100,7,13,13.0,13,0,6.5
2026-09-26,weekend,bari,bari-vecchia,6461890,Luggage Storage Basilica San Nicola,100,8,25,25.0,2,29,15.5
2026-09-23,weekday,bari,bari-vecchia,6463189,Luggage Storage Crispi-Trevisani,20,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-vecchia,6463189,Luggage Storage Crispi-Trevisani,20,1,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-vecchia,6463189,Luggage Storage Crispi-Trevisani,20,3,0,0.0,0,0,0.0
2026-09-26,weekend,bari,bari-vecchia,6463189,Luggage Storage Crispi-Trevisani,20,4,0,0.0,0,0,0.0
2026-09-23,weekday,bari,basilica-san-nicola,2325,Luggage Storage St. Nicholas Cathedral,30,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,basilica-san-nicola,2325,Luggage Storage St. Nicholas Cathedral,30,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,basilica-san-nicola,2325,Luggage Storage St. Nicholas Cathedral,30,5,8,26.7,8,0,4.0
2026-09-26,weekend,bari,basilica-san-nicola,2325,Luggage Storage St. Nicholas Cathedral,30,7,4,13.3,0,4,2.0
2026-09-23,weekday,bari,city-center,3420,Luggage Storage City Hall,20,1,6,30.0,6,0,3.0
2026-09-24,weekday,bari,city-center,3420,Luggage Storage City Hall,20,1,0,0.0,0,0,0.0
2026-09-25,weekday,bari,city-center,3420,Luggage Storage City Hall,20,3,4,20.0,4,0,2.0
2026-09-23,weekday,bari,city-center,5657,Luggage Storage Bari City Center,100,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,city-center,5657,Luggage Storage Bari City Center,100,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,city-center,5657,Luggage Storage Bari City Center,100,6,0,0.0,0,0,0.0
2026-09-26,weekend,bari,city-center,5657,Luggage Storage Bari City Center,100,8,0,0.0,0,0,0.0
2026-09-23,weekday,bari,city-center,5825,Luggage Storage Petruzzelli Opera House,300,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,city-center,5825,Luggage Storage Petruzzelli Opera House,300,1,0,0.0,0,0,0.0
2026-09-25,weekday,bari,city-center,5825,Luggage Storage Petruzzelli Opera House,300,4,0,0.0,0,0,0.0
2026-09-23,weekday,bari,city-center,9646,Luggage Storage near Palazzo Mincuzzi,100,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,city-center,9646,Luggage Storage near Palazzo Mincuzzi,100,1,0,0.0,0,0,0.0
2026-09-25,weekday,bari,city-center,9646,Luggage Storage near Palazzo Mincuzzi,100,3,0,0.0,0,0,0.0
2026-09-26,weekend,bari,city-center,9646,Luggage Storage near Palazzo Mincuzzi,100,3,0,0.0,0,0,0.0
2026-09-23,weekday,bari,fiera-del-levante,1377,Luggage Storage Via Napoli,30,2,0,0.0,0,0,0.0
2026-09-24,weekday,bari,fiera-del-levante,1377,Luggage Storage Via Napoli,30,9,0,0.0,0,0,0.0
2026-09-25,weekday,bari,fiera-del-levante,1377,Luggage Storage Via Napoli,30,12,0,0.0,0,0,0.0
2026-09-26,weekend,bari,fiera-del-levante,1377,Luggage Storage Via Napoli,30,17,1,3.3,0,1,0.5
2026-09-23,weekday,bari,madonnella,6455103,Luggage Storage near Bari Marconi Station,55,2,0,0.0,0,0,0.0
2026-09-24,weekday,bari,madonnella,6455103,Luggage Storage near Bari Marconi Station,55,1,0,0.0,0,0,0.0
2026-09-25,weekday,bari,madonnella,6455103,Luggage Storage near Bari Marconi Station,55,9,0,0.0,0,0,0.0
2026-09-26,weekend,bari,madonnella,6455103,Luggage Storage near Bari Marconi Station,55,5,0,0.0,0,0,0.0
2026-09-23,weekday,bari,madonnella,6455296,Luggage Storage near Corso Sydney Sonnino,25,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,madonnella,6455296,Luggage Storage near Corso Sydney Sonnino,25,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,madonnella,6455296,Luggage Storage near Corso Sydney Sonnino,25,7,1,4.0,0,1,0.5
2026-09-26,weekend,bari,madonnella,6455296,Luggage Storage near Corso Sydney Sonnino,25,7,0,0.0,0,0,0.0
2026-09-23,weekday,bari,marconi,6454617,Luggage Storage near Via Napoli,50,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,marconi,6454617,Luggage Storage near Via Napoli,50,1,0,0.0,0,0,0.0
2026-09-25,weekday,bari,marconi,6454617,Luggage Storage near Via Napoli,50,3,0,0.0,0,0,0.0
2026-09-23,weekday,bari,marconi,6457603,Luggage Storage Corso Sidney Sonnino,20,1,0,0.0,0,0,0.0
