name,kind,lat,lng
Montalfano,quarter,42.0222564,14.6913474
Centar,suburb,45.1536223,18.0145017
بئر الغول,neighbourhood,36.448808,10.7236517
Sant'Elia,suburb,40.6184663,17.9221559
Bozzano,suburb,40.623497,17.9427016
مدينة المنستير العتيقة,suburb,35.7736841,10.8295852
Dörfli,neighbourhood,46.7702477,7.6618615
Bolzacher,neighbourhood,46.7691234,7.6593348
Flühli,neighbourhood,46.7719369,7.6641615
Parella,suburb,45.0796767,7.6325589
Pozzo Strada,suburb,45.0683396,7.6263865
Campidoglio,suburb,45.0793485,7.6529994
Giglen,neighbourhood,46.8829888,8.2217941
Rädershalten,neighbourhood,46.8871905,8.2269305
Cit Turin,suburb,45.0734308,7.6615327
Cenisia,suburb,45.0697067,7.6498785
Borgo San Paolo,suburb,45.0614631,7.645838
San Donato,suburb,45.0823608,7.6617867
Crocetta,suburb,45.0579245,7.6649673
Centro,suburb,45.0688914,7.6823806
San Salvario,suburb,45.0549503,7.6801517
Lebba,neighbourhood,42.1630729,14.7009081
Villa De Nardis,neighbourhood,42.1347619,14.682491
Pagliarelli,neighbourhood,42.1632451,14.669837
Ributtini,quarter,42.0423105,14.7029777
Piane Sant'Angelo,suburb,42.0509023,14.7477724
Vicenne,neighbourhood,41.8484197,14.5639062
Weid,neighbourhood,46.766012,7.6646496
Uf der Egg,neighbourhood,46.7646185,7.6617669
Wilimatt,neighbourhood,46.7668691,7.6592852
Gappe,neighbourhood,46.7735011,7.6654261
Barmettle,neighbourhood,46.7693052,7.6653108
Borgo Po,suburb,45.0606675,7.6991276
Madonna del Pilone,suburb,45.068287,7.7201896
Vanchiglietta,suburb,45.0727824,7.7165497
Wittiwil,neighbourhood,46.7808982,7.6684462
Gappen,neighbourhood,46.7767378,7.6704043
Moosacker,neighbourhood,46.7826082,7.6732957
Alba,neighbourhood,44.8750581,10.4577076
Torre d'Angiolini,neighbourhood,45.1447577,10.2949619
Sant'Onofrio,neighbourhood,42.1070999,14.6964807
Taverna,quarter,41.7908404,14.4793821
Vivara,quarter,41.8093333,14.5880384
Piano d'Ischia,quarter,41.806297,14.5723051
Uomomorto (primo),quarter,41.7917362,14.5879711
Cerreto,quarter,41.7780478,14.6038081
Codacchi,quarter,41.750643,14.6033773
Fonte del Cerro,quarter,41.7459526,14.5565752
كاف أم الطبول ⴽⴰⴼ ⵓⵎ ⵟⵟⴱⵓⵍ,neighbourhood,36.8833609,8.5666777
Schwendegg,neighbourhood,46.7742837,7.6892696
Barriera di Lanzo,suburb,45.1135389,7.6574445
