day,city,area,points,capacity,peak,peak_pct,carry_in,bags_in,deposits
2026-09-23,milan,cairoli-subway-station,1,45,0,0.0,0,0,0.0
2026-09-23,milan,carrobbio,1,30,0,0.0,0,0,0.0
2026-09-23,milan,casoretto,2,40,1,2.5,1,0,0.5
2026-09-23,milan,cerchiate,2,35,2,5.7,2,0,1.0
2026-09-23,milan,china-town,2,55,2,3.6,2,0,1.0
2026-09-23,milan,china-town-milan,1,35,0,0.0,0,0,0.0
2026-09-23,milan,citylife,1,25,0,0.0,0,0,0.0
2026-09-23,milan,cologno-monzese,1,100,0,0.0,0,0,0.0
2026-09-23,milan,conchetta,2,45,0,0.0,0,0,0.0
2026-09-23,milan,corso-buenos-aires,1,20,0,0.0,0,0,0.0
2026-09-23,milan,crescenzago,4,60,1,1.7,1,0,0.5
2026-09-23,milan,duomo,3,395,4,1.0,4,0,2.0
2026-09-23,milan,forlanini,1,20,0,0.0,0,0,0.0
2026-09-23,milan,guastalla,1,20,0,0.0,0,0,0.0
2026-09-23,milan,lambrate,4,85,0,0.0,0,0,0.0
2026-09-23,milan,loreto,4,90,0,0.0,0,0,0.0
2026-09-23,milan,malpensa-airport,1,100,0,0.0,0,0,0.0
2026-09-23,milan,milan-centrale-railway-station,26,1585,80,5.0,78,2,40.0
2026-09-23,milan,milano-repubblica-station,2,120,0,0.0,0,0,0.0
2026-09-23,milan,missori,5,145,3,2.1,3,0,1.5
2026-09-23,milan,navigli,3,75,3,4.0,3,0,1.5
2026-09-23,milan,niguarda,2,40,0,0.0,0,0,0.0
2026-09-23,milan,novate-milanese,1,15,0,0.0,0,0,0.0
2026-09-23,milan,palazzo-di-giustizia,1,30,0,0.0,0,0,0.0
2026-09-23,milan,piazza-gae-aulenti,1,40,0,0.0,0,0,0.0
2026-09-23,milan,politecnico-di-milano-campus-bovisa-la-masa,1,20,0,0.0,0,0,0.0
2026-09-23,milan,porta-garibaldi,1,300,0,0.0,0,0,0.0
2026-09-23,milan,porta-garibaldi-train-station,3,90,0,0.0,0,0,0.0
2026-09-23,milan,porta-genova,5,220,8,3.6,8,0,4.0
2026-09-23,milan,porta-romana,7,185,0,0.0,0,0,0.0
2026-09-23,milan,porta-ticinese,3,105,3,2.9,3,0,1.5
2026-09-23,milan,porta-venezia,7,235,0,0.0,0,0,0.0
2026-09-23,milan,porta-vittoria,2,40,0,0.0,0,0,0.0
2026-09-23,milan,rho,1,20,0,0.0,0,0,0.0
2026-09-23,milan,rogoredo-train-station,1,50,0,0.0,0,0,0.0
2026-09-23,milan,san-babila,2,60,0,0.0,0,0,0.0
2026-09-23,milan,san-siro-stadium,2,335,0,0.0,0,0,0.0
2026-09-23,milan,santa-giulia,1,10,0,0.0,0,0,0.0
2026-09-23,milan,santa-maria-delle-grazie,6,160,10,6.2,10,0,5.0
2026-09-23,milan,via-torino-via-palla,1,26,0,0.0,0,0,0.0
2026-09-23,milan,via-visconti-di-modrone,1,25,2,8.0,2,0,1.0
2026-09-23,milan,villapizzone-railway-station,1,25,2,8.0,2,0,1.0
