seen_on,city,area,storage_id,name,lat,lng,capacity,is_locker,open_24_7,reviews,rating,price_eur
2026-09-23,rome,cavour,6472350,Luggage Storage Piazza Cavour,41.90530150000001,12.4681835,35,False,False,7,5,5.0
2026-09-23,rome,prati,6472346,Luggage Storage Via Orazio,41.907573,12.4663854,70,False,False,3,4.67,5.0
2026-09-23,rome,termini,6471173,Luggage Storage Termini (Ma-Mb-Fs),41.9001689,12.500642,100,False,False,50,4.74,5.0
2026-09-23,rome,termini,6471145,Luggage Storage Via Marsala,41.9013333,12.5042274,100,False,False,7,4.57,5.0
2026-09-23,rome,prati,6471093,Luggage Storage Cicerone / Cola di Rienzo,41.90819159999999,12.4677914,25,False,False,9,4.89,5.0
2026-09-23,rome,vatican,6470823,Luggage Storage Scalia / Cipro,41.9071649,12.4455888,50,False,False,2,5,5.0
2026-09-23,rome,colosseum,6470781,Luggage Storage near Colosseo,41.88855,12.49607,20,False,False,8,5,5.0
2026-09-23,rome,pigneto,6470573,Luggage Storage Piazzale Prenestino,41.8906651,12.5260749,50,False,False,2,4,5.0
2026-09-23,rome,ostiense,6470456,Luggage Storage Ostiense/Matteucci,41.8727078,12.4805332,50,False,False,7,4.57,5.0
2026-09-23,rome,ostiense,6470455,Luggage Storage near Ostiense,41.8716515,12.4838086,20,False,False,12,4.46,5.0
2026-09-23,rome,ostiense,6470454,Luggage Storage Basilica S. Paolo,41.85499919999999,12.478811,50,False,False,3,4.67,5.0
2026-09-23,rome,termini,6470329,Luggage Storage Manin / Termini,41.8988048,12.4990903,30,False,True,4,4.8,5.0
2026-09-23,rome,Municipio-Roma-X,6470296,Luggage Storage Casal Palocco,41.7511662,12.3610855,30,False,False,0,0,5.0
2026-09-23,rome,furio-camillo,6470292,Luggage Storage near Colli Albani Metro Station,41.86878249999999,12.530952,20,False,False,3,5,5.0
2026-09-23,rome,pigneto-prenestina,6470291,Luggage Storage Ponte Casilino,41.8902747,12.5228139,50,False,False,0,0,5.0
2026-09-23,rome,trevi,6470245,Luggage Storage near Galleria Colonna,41.8976443,12.4832462,100,False,False,0,0,5.0
2026-09-23,rome,monti,6470209,Luggage Storage Via Cavour / Monti,41.8959834,12.4947617,100,False,False,7,4.57,5.0
2026-09-23,rome,san-giovanni,6470190,Luggage Storage Ponte Lungo Metro Station,41.87820300000001,12.515946,25,False,False,1,5,5.0
2026-09-23,rome,pigneto,6470156,Luggage Storage Pigneto Metro Station,41.89039,12.52801,20,False,False,3,4,5.0
2026-09-23,rome,trastevere,6470104,Luggage Storage near Circo Massimo Metro Station,41.8833118,12.4872626,200,False,False,3,4.33,5.0
2026-09-23,rome,termini,6469828,Luggage Storage Piazza dell'Esquilino,41.8978714,12.4963254,500,False,False,5,5,5.0
2026-09-23,rome,ottaviano,6469746,Luggage Storage Via Rodi,41.912836,12.4538062,30,False,False,4,5,5.0
2026-09-23,rome,repubblica,6469637,Luggage Storage Via Quattro Fontane,41.9012862,12.4920765,50,False,False,2,4.5,5.0
2026-09-23,rome,termini,6469390,Luggage Storage Giolitti / Cappellini,41.8977268,12.5048296,20,False,False,19,4.42,5.0
