read_at,city,area,storage_id,name,day,hour,weekday,capacity,booked,free,status
2026-09-23 17:18,rome,trastevere,6456663,Luggage Storage Viale Guglielmo Marconi,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,flaminio,6456650,Luggage Storage Mancini Bus Station,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,piazza-di-san-pietro-in-vincoli,6456615,Luggage Storage Basilica Of San Pietro In Vincoli,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,trastevere,6456514,Luggage Storage Piazza Testaccio,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,garbatella,6456416,Luggage Storage Roma Ostiense,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,furio-camillo,6456362,Luggage Storage Appio Latino / Satrico,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,pantheon,6455957,Luggage Storage Spagna Metro Station,2026-09-23,18,weekday,35,0,35,read
2026-09-23 17:18,rome,collatino,6455729,Luggage Storage Casal Bruciato,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,trastevere,6455283,Luggage Storage near Trastevere Station,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,fiera-di-roma,6455074,Luggage Storage near Viale Dei Colli Portuensi,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,lepanto,6454985,Luggage Storage Roma Flaminio,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,nomentano,6454965,Luggage Storage Viale Ippocrate,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,portuense,6454526,Luggage Storage Circonvallazione Gianicolense,2026-09-23,18,weekday,20,3,17,read
2026-09-23 17:18,rome,prati,6454471,Luggage Storage Viale Giulio Cesare,2026-09-23,18,weekday,40,0,40,read
2026-09-23 17:18,rome,trastevere,6454401,Luggage Storage Roma Trastevere Railway Station,2026-09-23,18,weekday,100,1,99,read
2026-09-23 17:18,rome,vatican,6454230,Luggage Storage near Vatican City,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,nomentana,6454157,Luggage Storage near Via Antonio Silvani,2026-09-23,18,weekday,45,0,45,read
2026-09-23 17:18,rome,pantheon,6454062,Luggage Storage Corso Vittorio Emanuele II,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,baldo-degli-ubaldi-station,6454059,Luggage Storage Cornelia Metro Station,2026-09-23,18,weekday,15,0,15,read
2026-09-23 17:18,rome,repubblica,6454032,Luggage Storage near Palazzo Delle Esposizioni,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,largo-di-torre-argentina,6453995,Luggage Storage Roma Torre Argentina,2026-09-23,18,weekday,35,0,35,read
2026-09-23 17:18,rome,ottaviano,6453839,Luggage Storage Largo Trionfale / Ottaviano,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,quartiere-xii-gianicolense,6453701,Luggage Storage Gianicolense/Ponte Bianco,2026-09-23,18,weekday,45,0,45,read
2026-09-23 17:18,rome,navona,6453616,Luggage Storage Piazza Navona,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,termini,6453452,Luggage Storage Acquario Romano,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,monti,6453079,Luggage Storage Via Urbana,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,termini,6452726,Luggage Storage Gioberti Roma Termini,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,esquilino,6452653,Luggage Storage Basilica Santa Maria Maggiore,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,monti,6452651,Luggage Storage Cavour Metro Station,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,parioli,6452625,Luggage Storage near Foro Italico,2026-09-23,18,weekday,45,0,45,read
2026-09-23 17:18,rome,garbatella,6452580,Luggage Storage near Circonvallazione Ostiense,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,vatican,6452534,Luggage Storage Aurelia / Cavalleggeri,2026-09-23,18,weekday,35,4,31,read
2026-09-23 17:18,rome,vatican,6452533,Luggage Storage Passeggiata Del Gelsomino,2026-09-23,18,weekday,10,0,10,read
2026-09-23 17:18,rome,st-peter-basilica,6452532,Luggage Storage Porta Cavalleggeri,2026-09-23,18,weekday,35,2,33,read
2026-09-23 17:18,rome,cavour,6452487,Luggage Storage Roma Via Cavour,2026-09-23,18,weekday,50,6,44,read
2026-09-23 17:18,rome,termini,6452486,Luggage Storage near Museo Delle Illusioni,2026-09-23,18,weekday,10,0,10,read
2026-09-23 17:18,rome,prati,6452320,Luggage Storage Flaminio Metro Station,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,bocca-della-verita,6452303,Luggage Storage Piazza Belli,2026-09-23,18,weekday,40,2,38,read
2026-09-23 17:18,rome,vatican,6452286,Luggage Storage Cipro Metro Station,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,piazza-del-popolo,6452246,Luggage Storage near Roma Piazza Del Popolo,2026-09-23,18,weekday,55,0,55,read
2026-09-23 17:18,rome,termini,6452106,Luggage Storage Volturno/Cernaia,2026-09-23,18,weekday,25,0,25,read
