day,city,points,capacity,peak,peak_pct,last,arrivals
2026-09-23,naples,416,3108,544,17.5,538,544
2026-09-23,novara,13,0,0,,0,0
2026-09-23,olbia,6,0,26,,25,26
2026-09-23,oristano,6,0,0,,0,0
2026-09-23,padova,33,267,39,14.6,38,39
2026-09-23,palermo,107,1166,356,30.5,354,356
2026-09-23,parma,24,60,28,46.7,27,28
2026-09-23,pavia,9,35,1,2.9,1,1
2026-09-23,perugia,19,155,17,11.0,17,17
2026-09-23,pesaro,4,6,1,16.7,1,1
2026-09-23,pescara,29,45,19,42.2,19,19
2026-09-23,piacenza,16,25,0,0.0,0,0
2026-09-23,pisa,37,897,320,35.7,318,320
2026-09-23,pordenone,12,0,0,,0,0
2026-09-23,potenza,14,0,0,,0,0
2026-09-23,ragusa,16,80,1,1.2,1,1
2026-09-23,ravenna,12,100,32,32.0,32,32
2026-09-23,reggio-calabria,19,300,3,1.0,3,3
2026-09-23,reggio-emilia,8,0,0,,0,0
2026-09-23,rieti,3,0,0,,0,0
2026-09-23,rimini,19,160,30,18.8,30,30
2026-09-23,rome,490,8053,3101,38.5,3067,3104
2026-09-23,salerno,58,595,66,11.1,65,66
2026-09-23,sassari,9,0,1,,1,1
2026-09-23,savona,9,0,1,,1,1
2026-09-23,siena,14,32,36,112.5,36,36
2026-09-23,sondrio,8,0,0,,0,0
2026-09-23,taranto,15,90,1,1.1,1,1
2026-09-23,tempio-pausania,3,0,0,,0,0
2026-09-23,teramo,8,0,0,,0,0
2026-09-23,terni,6,6,0,0.0,0,0
2026-09-23,trani,17,0,3,,3,3
2026-09-23,trapani,18,195,9,4.6,9,9
2026-09-23,trento,11,20,1,5.0,1,1
2026-09-23,treviso,26,5,20,400.0,20,20
2026-09-23,trieste,23,16,45,281.2,42,45
2026-09-23,turin,96,612,196,32.0,195,196
2026-09-23,udine,21,0,2,,2,2
2026-09-23,varese,13,100,5,5.0,5,5
2026-09-23,venice,93,1539,1365,88.7,1344,1367
2026-09-23,verbania,12,210,14,6.7,14,14
2026-09-23,vercelli,3,10,1,10.0,1,1
2026-09-23,verona,65,243,208,85.6,204,208
2026-09-23,vibo-valentia,15,0,4,,4,4
2026-09-23,vicenza,25,10,14,140.0,14,14
2026-09-23,viterbo,5,10,2,20.0,2,2
2026-09-24,agrigento,12,120,16,13.3,16,16
2026-09-24,alessandria,2,0,0,,0,0
2026-09-24,ancona,13,110,11,10.0,11,11
2026-09-24,aosta,6,0,2,,2,2
2026-09-24,arezzo,8,15,3,20.0,2,3
2026-09-24,ascoli-piceno,2,0,0,,0,0
2026-09-24,avellino,16,0,0,,0,0
2026-09-24,bari,68,1067,260,24.4,246,261
2026-09-24,belluno,6,0,2,,2,2
2026-09-24,benevento,5,0,0,,0,0
2026-09-24,bergamo,48,275,173,62.9,162,173
2026-09-24,bologna,100,1168,432,37.0,413,435
2026-09-24,bolzano,8,0,21,,21,21
2026-09-24,brescia,53,120,3,2.5,3,3
2026-09-24,brindisi,11,200,13,6.5,11,13
2026-09-24,cagliari,33,0,27,,24,27
2026-09-24,campobasso,3,100,1,1.0,1,1
2026-09-24,caserta,107,120,0,0.0,0,0
2026-09-24,catania,138,1020,158,15.5,149,160
2026-09-24,catanzaro,11,0,1,,0,1
2026-09-24,cesena,26,105,3,2.9,3,3
2026-09-24,chieti,12,25,1,4.0,1,1
2026-09-24,como,29,245,128,52.2,120,132
2026-09-24,cosenza,23,0,0,,0,0
2026-09-24,cremona,7,0,1,,1,1
2026-09-24,crotone,5,100,0,0.0,0,0
2026-09-24,cuneo,1,0,0,,0,0
2026-09-24,enna,3,5,0,0.0,0,0
2026-09-24,ferrara,10,50,4,8.0,4,4
2026-09-24,florence,115,1146,1363,118.9,1325,1371
2026-09-24,foggia,13,20,1,5.0,0,1
