spot_id,city,lat,lng,area,source
4ced0aa0-839a-43c9-b741-6e8fe55865dc,rome,41.8754177,12.4660528,trastevere,radical
45d46d08-7fad-4e37-845d-d59eb0a44ce3,rome,41.9025422,12.477906,pantheon,radical
7b921563-669f-4251-9a4e-ffbc22d3a390,rome,41.8928609,12.5135414,esquilino,radical
aea7f2bc-1425-4bd4-919c-e179dfc41daf,rome,41.90659,12.45023,vatican,radical
224c9e10-1544-4d85-9b88-4588b43df038,rome,41.8979633,12.496834000000035,esquilino,radical
5628c628-8e69-4d61-ad8c-82a47f8a0daf,rome,41.8749176,12.4579382,portuense,radical
c6ec3a28-85c2-4569-804b-9a3f6e347438,rome,41.9053422,12.4168795,primavalle,radical
734afa93-c95d-4d18-b548-d6f660b104d7,rome,41.906488533891974,12.50102056931155,repubblica,radical
72b6e79f-8e0c-48d4-aca1-d4a4e457073d,rome,41.90669724240939,12.452350643770274,vatican,radical
5af20cff-5635-46cd-a743-06605e5d632b,rome,41.9116654,12.4547956,roma-vatican-museums,radical
ef9a44ef-e445-4fd6-9f14-381528de3286,rome,41.9080106,12.4538364,roma-vatican-museums,radical
df668f34-54f2-4334-90ae-d3f237435787,rome,41.90192632004611,12.439999700000017,baldo-degli-ubaldi-station,radical
2606a600-eb44-44ca-8761-c84bd26da172,rome,41.8962372,12.4322038,baldo-degli-ubaldi-station,radical
c50b42e1-02a7-497a-8d76-002975820e5a,rome,41.8765811,12.4485578,quartiere-xii-gianicolense,radical
8bc35ef7-60be-4a11-98b6-a82476e27b2e,rome,41.87352090797505,12.468421687713693,trastevere,radical
b026f4d8-6640-481f-b2cf-6481852aba18,rome,41.9083528,12.453818299999966,ottaviano,radical
df812163-15bb-4a4a-bed1-b4b7b5001665,rome,41.8804553,12.4732715,trastevere,radical
1aa0176c-80a2-4b5c-8b5e-80048d85dec0,rome,41.8957763,12.5013711,monti,radical
edb13df9-c589-4e4e-9bbb-fda87cb34438,rome,41.8971878,12.4772821,pantheon,radical
3e60ac0a-7e15-47bc-b997-e8acee40f2f3,rome,41.8972971,12.4319151,baldo-degli-ubaldi-station,radical
fa0517da-455c-4b4e-9097-9295008182cf,rome,41.8522437,12.589922099999967,torre-maura,radical
a45a0e04-4b9b-4388-83a2-b09542bd501e,rome,41.9606188,12.5307177,vigne-nuove,radical
920f77d8-1e14-44fe-a3a4-3b3c7fb9290b,rome,41.8886973,12.5073565,manzoni,radical
e3098771-c367-4e4b-a546-b2334996f7a8,rome,41.8025347,12.6003889,ciampino,radical
d16d3201-9c2e-4f54-95b9-9e15d8d75572,rome,41.9075512,12.4663416,prati,radical
4b2ae0c7-447f-49c7-bf2f-1f5180d316c2,rome,41.889125,12.4939333,colosseum,radical
6a6ab8b3-f1fc-4d1a-969a-185d8eaea824,rome,41.9450539,12.6000496,casal-monastero,radical
927f3436-be60-4bad-8810-5f4e6bca0cbb,rome,41.89127246870196,12.51943,esquilino,radical
515c6fec-c788-49c9-89f0-703b637f76e2,rome,41.90081631805943,12.483795038732522,rione-ix-pigna,radical
21be7700-0870-41be-8120-7da2d96d0dae,rome,41.8943622,12.4910481,piazza-di-san-pietro-in-vincoli,radical
01bc0ee1-7180-48d5-ba99-3e59b4c1fcf9,rome,41.9054189,12.4484,piazza-di-san-pietro-in-vincoli,radical
